tree_number,models.80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,cga.80,cga.50,cga.20,cga.s20,gamma.80,gamma.50,gamma.20,gamma.s20,decline.length.80,decline.length.50,decline.length.20
31,bcstdcst,-14.86184086,35.72368172,1.015037241,NA,1.114624331,NA,bcstdcst,-44.72412154,93.86203618,1.361540604,NA,1.240965673,NA,bcstdvar,-36.46910236,79.60487139,1.703377945,NA,1.660769245,2.443801665,bcstdcst,-21.09159962,46.93319924,1.355778069,NA,0.988867378,NA,1.757859994,2.119057078,0.264572342,6.687406292,14.58740629,13.72538085,11.38740629,9.187406292,4.7,9,32,40,19,2.074387073,2.014896498,1.932638811,1.507971821,7.778424185,7.566622156,8.871240442,4.38383415,0.506218754,0.301447291,0.417054568,0.237746133,7.899999993,4.699999993,2.499999995
32,bcstdcst,-3.719769987,23.43953997,3.30697897,NA,4.054960402,NA,bcstdcst,-17.14973938,39.63281209,1.336206165,NA,1.411902951,NA,bcstdvar,-14.34621522,36.69243044,1.252813756,NA,95.18005828,0.007085436,bcstdcst,-43.61976122,91.56384677,1.398313242,NA,0.939442135,NA,1.773264528,2.326746872,0.202409949,7.094495751,13.79449575,25.14456263,11.19449575,9.394495751,5.2,4,12,16,40,2.184141212,2.085372518,1.979273869,1.514589082,2.304197396,3.676783265,1.876783265,5.068592592,0.911726483,0.226864091,-0.060284534,0.197538344,6.699999985,4.099999985,2.299999986
33,bcstdcst,-62.32117243,128.8528712,2.367748071,NA,2.340911306,NA,bvardvar,-215.0484804,438.2731723,3.280236734,-0.036234308,3.87792415,90.65314406,bvardcst,-460.92011,927.8923939,2.586544543,-0.057892672,3.028792331,NA,bvardcst,-342.2451949,690.5326433,2.553278552,-0.139546575,2.374452833,NA,2.766598342,2.991419171,0.393724917,6.573623652,16.37362365,51.38794977,11.97362365,9.373623652,4.6,60,232,464,572,2.986675556,2.964598062,2.916764432,2.502416195,15.69848244,11.38876437,8.788764374,4.015140722,0.562650826,0.498655755,0.376744696,0.163666506,9.800000006,5.400000006,2.800000008
34,bvardcst,-17.7280537,42.49958566,5.028494453,-0.069881109,5.99726355,NA,bcstdcst,5.527803597,-6.90176104,7.295318168,NA,7.11128041,NA,bvardcst,-15.70989936,37.692526,6.511600049,-0.126399605,7.830866909,NA,bcstdcst,39.10563783,-74.14309385,5.77486253,NA,4.304449117,NA,6.34838494,7.601436856,0.530311228,3.399428648,6.299428648,446.7310001,5.199428648,4.399428648,2.6,27,81,92,179,7.332242178,7.119035152,6.864113782,5.686799764,5.468499106,4.368499106,3.568499107,1.769070459,0.510284436,0.495675884,0.429741564,0.215893839,2.9,1.8,1
35,bvardcst,3.85387393,-1.237159626,9.497138778,-0.096132822,11.19979842,NA,bvardvar,11.24519779,-14.0142051,6.425245521,-0.210706591,8.601599628,12.75447337,bvardcst,3.629416702,-0.969676777,7.026938073,-0.175980292,8.088714952,NA,bcstdcst,34.20319658,-64.24639317,7.570859668,NA,5.930847727,NA,7.015642419,8.665112178,0.721138711,2.300321651,4.400321651,75.55136446,3.600321651,3.000321651,1.7,55,89,87,78,8.30232446,8.019157829,7.669445979,6.122049685,3.919401488,3.175742993,2.575742993,1.275421342,0.548478717,0.465422537,0.368595957,0.236201058,2.099999999,1.299999999,0.699999999
36,bvardcst,-4.34547631,17.69095262,6.904265688,-0.161574654,9.657372237,NA,bcstdcst,-2.867458742,9.914021961,5.705752249,NA,5.288291188,NA,bvardcst,9.15856633,-11.9534963,8.050535361,-0.18893287,9.515978661,NA,bcstdcst,55.79227862,-107.4819931,5.84642614,NA,-2.839418446,NA,7.655447904,8.873601968,0.984778534,2.016437278,4.316437278,40.77246569,3.416437278,2.716437278,1.4,12,70,70,120,8.747119804,8.566738787,8.26220469,6.638267537,3.711063505,3.161320687,2.461320687,1.144883408,0.617756158,0.400014885,0.400563581,0.106663412,2.299999999,1.399999999,0.699999999
37,bcstdvar,-44.244938,94.90366911,2.430680288,NA,2.416774579,5.515644651,bcstdcst,-46.46668351,97.04245792,4.549952064,NA,4.455318027,NA,bvardcst,-95.576057,197.3683302,3.111186986,-0.085747363,3.710372028,NA,bvardcst,-19.36972814,45.00319254,4.849000562,-0.29321,5.913650927,NA,3.483992312,3.674619412,0.684610044,4.322001566,14.32200157,14.23478615,9.422001566,6.722001566,2.7,62,113,115,95,3.674416662,3.668813899,3.63775469,3.095934737,13.53698767,9.053903162,6.353903162,2.331901596,0.509206687,0.540318263,0.370274655,0.252839092,10.00000001,5.100000002,2.400000002
38,bvardcst,1.711359896,2.977280208,10.12611455,-0.093932866,12.25813399,NA,bvardcst,15.73278575,-25.31650319,9.204599641,-0.144087706,11.23305188,NA,bvardcst,5.089819498,-4.074835503,7.394981134,-0.177240078,8.663554216,NA,bcstdcst,108.8666721,-213.6764722,8.126616036,NA,6.305639003,NA,7.448142152,8.776037623,0.735037558,2.569160792,4.969160792,166.0010412,4.069160792,3.469160792,1.9,64,165,233,214,8.548512543,8.335148123,8.090764957,6.604460584,4.767234464,3.867234464,3.267234464,1.698073673,0.561778167,0.474605174,0.377159783,0.239293374,2.400000001,1.500000001,0.900000001
39,bcstdcst,-6.440936226,18.59615817,3.245280812,NA,3.433370341,NA,bvardcst,-34.47452702,75.37010667,3.708397237,-0.163088518,4.420605715,NA,bcstdcst,-31.32295814,66.78074774,3.14005823,NA,2.202046793,NA,bcstdcst,3.854558116,-3.366259088,3.517501178,NA,1.03467789,NA,4.93953939,6.030619876,0.727964317,2.348578478,5.048578478,13.64656866,4.048578478,3.248578478,1.6,10,61,92,38,5.877775524,5.714100514,5.46396192,4.149049194,4.341789512,3.509245939,2.709245939,1.060667461,0.671595778,0.29994974,0.19578895,0.032630333,2.7,1.7,0.9
40,bvardvar,-79.82512163,168.625853,1.334814104,-0.058599925,1.930237411,12.94414443,bvardcst,-214.9913158,436.1672469,1.352395785,-0.057284451,1.684198739,NA,bcstdvar,-254.8533297,515.871043,0.812063313,NA,0.58427851,13.32207234,bvardcst,-204.5881684,415.3060665,1.579796921,-0.086980168,1.496217504,NA,1.40691624,2.548598242,0.092381242,8.692683301,14.8926833,40.27536064,12.6926833,10.9926833,6.6,46,134,150,189,1.904729945,1.759624587,1.625458113,1.163422111,14.25424044,12.05424044,10.35424044,6.393863805,0.40073316,0.317541466,0.212872875,0.1761175,6.199999956,3.999999956,2.299999956
