tree.number.20,median.shifts.20,ESS.shifts.20,ESS.logLik.20,root.lambda.mean.20,root.mu.mean.20,root.lambda.decay.20,root.mu.decay.20,tip.lambda.mean.20,tip.mu.mean.20,median.shifts.50,ESS.shifts.50,ESS.logLik.50,root.lambda.mean.50,root.mu.mean.50,root.lambda.decay.50,root.mu.decay.50,tip.lambda.mean.50,tip.mu.mean.50,median.shifts.80,ESS.shifts.80,ESS.logLik.80,root.lambda.mean.80,root.mu.mean.80,root.lambda.decay.80,root.mu.decay.80,tip.lambda.mean.80,tip.mu.mean.80,median.shifts.s20,ESS.shifts.s20,ESS.logLik.s20,root.lambda.mean.s20,root.mu.mean.s20,root.lambda.decay.s20,root.mu.decay.s20,tip.lambda.mean.s20,tip.mu.mean.s20
35,0,496,290.2007237,9.302921391,7.000550181,-0.115593609,-0.115593609,6.427378631,7.000578481,0,811,270.2464315,12.30109647,9.350942737,-0.134575178,-0.134575178,7.952535049,9.34825787,0,856,284.0953832,11.01097864,9.133944813,-0.077345217,-0.077345217,7.952356883,9.130400873,0,316,379.661853,9.122075063,6.478013253,0.040805446,0.040805446,7.70188985,6.508710412
36,0,721,312.3006951,9.439150014,7.605778946,-0.09134469,-0.09134469,7.070678166,7.607636532,0,271,271,5.375819631,5.023571734,0.06583321,0.06583321,5.323463597,5.033409028,1,270.4550225,465.3649631,2.463462058,2.569071438,-0.043404658,-0.043404658,3.358598672,3.449067283,0,271,271,7.306347454,3.450528346,0.105529899,0.105529899,6.121959708,3.478623145
37,0,636.6757129,286.1883931,4.802191504,3.408065228,-0.075771778,-0.075771778,2.940146062,3.406014265,0,1571.493966,227.4257023,5.005156777,4.535718754,-0.012564194,-0.012564194,4.342561644,4.537475273,0,361,361,1.806520784,2.535557452,0.074585551,0.074585551,2.722245392,2.53335474,0,361,272.6444211,8.630056094,5.249050083,-0.263812965,-0.263812965,4.52174683,5.247688398
38,0,316.2922897,246.854861,13.06126522,8.586422685,-0.173147038,-0.173147038,7.391473677,8.58608453,0,1079.06281,356.6613572,15.03271209,10.55810556,-0.140499177,-0.140499177,8.728174173,10.55736738,0,2063.871111,240.1425367,12.77429844,9.91318272,-0.092968125,-0.092968125,8.232704412,9.911785426,0,243.2333836,286.2358662,9.058379917,6.722814488,0.054380399,0.054380399,8.271028754,6.723758336
39,0,361,361,3.85530205,2.504773253,0.021482629,0.021482629,3.24485025,2.5190024,0,361,247.543782,5.102961053,3.600211133,-0.098087073,-0.098087073,3.326262609,3.603459214,0,289.0767201,881.107204,1.71205326,2.690462924,0.11857966,0.11857966,2.380793779,2.67060103,0,271,271,5.175594354,2.158572501,0.045795927,0.045795927,4.016726919,2.230835538
40,0,496,218.7350021,1.922691631,1.097489504,-0.062136507,-0.062136507,0.992397708,1.097892993,0,586,378.4074423,2.422516416,1.537622237,-0.052330666,-0.052330666,1.278899568,1.537680943,0,496,184.0232312,2.389230819,1.565136296,-0.050852405,-0.050852405,1.155205943,1.564986898,0,273.6566075,272.6413925,2.25441217,1.253274795,-0.042728222,-0.042728222,1.517616405,1.26150356
41,0,676,310.0008044,6.056287293,4.388464689,-0.064479369,-0.064479369,3.753306946,4.388530089,0,787.6508069,303.4893489,4.975262408,3.636998824,-0.056062307,-0.056062307,2.914101825,3.624245971,0,316,245.4932844,1.933536595,2.469221487,0.064847054,0.064847054,2.628166717,2.475667204,0,766,448.8991401,5.581134883,3.445843838,-0.109661565,-0.109661565,3.694149351,3.445883777
42,0,1441,397.9750332,11.38703876,8.487243976,-0.103412834,-0.103412834,7.567450747,8.486538206,0,1486,264.696173,14.74457052,11.73005966,-0.076939035,-0.076939035,10.01028819,11.7298048,0,2476,265.0938702,7.513382415,6.79509706,-0.027165686,-0.027165686,6.127082005,6.786629598,0,586,267.2040015,12.03439043,7.509479727,-0.210666742,-0.210666742,8.089959305,7.509536803
43,0,1036,405.4205396,6.658139566,4.478608243,-0.102863,-0.102863,3.786680859,4.478792558,0,1621,511.14493,5.457823356,3.984569969,-0.067387919,-0.067387919,3.365157194,3.984184073,0,3570.412392,230.6311776,5.92826086,4.570315481,-0.050111192,-0.050111192,3.691799814,4.56700071,0,265.6640477,316,5.582731456,2.831085465,-0.209835058,-0.209835058,3.122796716,2.830427487
44,0,359.7872946,334.7442882,13.6987813,9.390386038,-0.19191872,-0.19191872,7.985847691,9.390378353,0,481.1999055,243.6657098,12.85586927,9.121466177,-0.163303282,-0.163303282,7.378640957,9.12119147,0,2950.553445,235.6463029,14.6300656,10.22740848,-0.165221663,-0.165221663,7.232864217,10.22155236,0,324.4208691,383.7630519,13.05608799,6.936413695,-0.376308994,-0.376308994,7.480626606,6.954545065
45,0,2169.447149,209.5352951,5.510653118,5.047770309,-0.009168415,-0.009168415,4.957388752,5.047349902,0,541,312.8436905,4.474380129,4.682509002,0.05634864,0.05634864,4.661967543,4.6821611,0,4052.783393,70.60832507,4.274403912,4.235289478,-0.000579663,-0.000579663,4.174958795,4.234781802,0,1666,259.0392486,7.216343715,5.282798211,-0.070554087,-0.070554087,5.414463329,5.282953652
46,0,710.5647006,331.1440051,10.206691,7.75400861,-0.108722361,-0.108722361,6.958805479,7.759449406,0,739.2752405,280.6105995,8.625400064,8.36434212,0.026036711,0.026036711,8.370145188,8.350041304,0,277.3706831,385.8013855,4.320098675,6.152681014,0.175807776,0.175807776,5.947941872,6.148798679,0,282.4465188,240.1362414,9.282346802,6.950329741,0.018461643,0.018461643,8.034950981,6.956140882
47,0,541,267.7521223,9.225450961,6.388930758,-0.157750444,-0.157750444,5.763229196,6.388568987,0,1126,372.6210925,10.93116081,8.034653979,-0.127014034,-0.127014034,6.779463023,8.031692829,0,1711,316.7171742,7.964505769,5.844893139,-0.118072914,-0.118072914,4.43614885,5.839040629,0,273.2346023,228.5903845,13.61547612,7.004222078,-0.49580422,-0.49580422,6.853248626,7.005754769
