tree.number.20,median.shifts.20,ESS.shifts.20,ESS.logLik.20,root.lambda.mean.20,root.mu.mean.20,root.lambda.decay.20,root.mu.decay.20,tip.lambda.mean.20,tip.mu.mean.20,median.shifts.50,ESS.shifts.50,ESS.logLik.50,root.lambda.mean.50,root.mu.mean.50,root.lambda.decay.50,root.mu.decay.50,tip.lambda.mean.50,tip.mu.mean.50,median.shifts.80,ESS.shifts.80,ESS.logLik.80,root.lambda.mean.80,root.mu.mean.80,root.lambda.decay.80,root.mu.decay.80,tip.lambda.mean.80,tip.mu.mean.80,median.shifts.s20,ESS.shifts.s20,ESS.logLik.s20,root.lambda.mean.s20,root.mu.mean.s20,root.lambda.decay.s20,root.mu.decay.s20,tip.lambda.mean.s20,tip.mu.mean.s20
50,0,250.2067099,361,5.395987091,0.376690589,-0.814880737,-0.814880737,0.119224895,0.376949203,0,271,271,5.043086236,0.248695573,-0.891389948,-0.891389948,0.020884372,0.24877295,0,631,208.0986671,5.529374231,0.5750808,-0.676406398,-0.676406398,0.019264057,0.575184077,0,323.4390975,406,5.779775493,0.254358068,-0.863073852,-0.863073852,0.891587177,0.256304385
51,0,361,361,0.067037271,0.000983197,0.44558762,0.44558762,0.134088574,0.001090116,0,271,271,0.040255337,0.000835809,0.345828616,0.345828616,0.080634418,0.001034407,0,901,297.0672134,1.849979667,0.217910225,-0.181212264,-0.181212264,0.013527605,0.217928035,0,246.5683867,390.8620191,2.219167528,0.230853968,-0.243287889,-0.243287889,0.312906864,0.230937062
52,0,3075.806423,485.7497328,6.090421889,0.355301919,-0.897789595,-0.897789595,0.068923586,0.355597121,0,271,271,5.985072066,0.37948209,-0.869763579,-0.869763579,0.019041307,0.379679761,0,676,262.5151286,5.434736701,0.745839469,-0.530552694,-0.530552694,0.036900077,0.746155511,0,316,316,7.219511994,0.792948315,-0.903621725,-0.903621725,1.017571726,0.794511401
53,1,569.2805688,158.3531936,2.950277427,0.102733596,-0.49580395,-0.49580395,0.055937615,0.229298722,0,361,308.6776636,5.935477285,0.222702807,-0.779734374,-0.779734374,0.009113335,0.222759885,0,811,251.3615763,5.362438261,0.396574244,-0.562524663,-0.562524663,0.00611295,0.396687362,0,3986.650186,121.5610404,6.155109943,0.341375549,-0.730401752,-0.730401752,0.769875978,0.342324296
54,0,333.3559342,2154.169793,6.118534487,0.389961087,-0.692728882,-0.692728882,0.134942418,0.390109569,0,361,361,6.185708449,0.464438042,-0.657905645,-0.657905645,0.0629332,0.464528528,0,858.1745135,408.813764,6.431058465,0.52801487,-0.630380124,-0.630380124,0.018756144,0.528109605,0,259.8643531,267.7649912,5.465409742,0.242982339,-0.648787417,-0.648787417,0.919427407,0.24439113
55,0,190.8816774,271,7.406792989,1.360935454,-0.677692107,-0.677692107,0.778807955,1.361225953,0,222.5479988,256.8955957,7.903197479,1.643261496,-0.637161141,-0.637161141,0.61370884,1.643428631,0,451,451,7.490110443,1.473484324,-0.647002694,-0.647002694,0.321851592,1.473814633,0,271,405.0646249,7.438405646,0.957209438,-0.747674782,-0.747674782,1.889835699,0.959950524
56,0,224.2848244,271,1.938725782,1.43808334,-0.024747172,-0.024747172,1.319046116,1.439817408,0,298.5859087,361,1.051219734,1.095288598,0.070087896,0.070087896,1.187639161,1.092522957,0,249.6995094,451,0.633591229,0.706204217,0.025719561,0.025719561,0.651189499,0.719431396,0,271,271,3.004739376,1.543825941,-0.05898422,-0.05898422,2.067537973,1.552553322
57,0,193.8379443,311.0297958,1.514598373,0.126311789,-0.24583478,-0.24583478,0.164363348,0.136318252,0,361,277.6916335,2.147660061,0.410847131,-0.229223227,-0.229223227,0.146383506,0.411000548,0,174.9324829,321.2289024,1.970273841,0.453399889,-0.207200793,-0.207200793,0.098795231,0.454092596,0,361,361,1.69705705,0.208568714,-0.16754552,-0.16754552,0.671409292,0.210291881
58,0,239.9105074,245.8371982,4.090794131,0.144205114,-0.806539852,-0.806539852,0.071477707,0.151171411,0,361,304.398978,4.568891634,0.341984068,-0.732148338,-0.732148338,0.025803579,0.342175672,0,451,347.4906264,4.639740111,0.711794951,-0.457004217,-0.457004217,0.047501972,0.712225546,0,451,256.1986365,6.683970177,1.270958918,-0.714228197,-0.714228197,1.312505607,1.27197041
59,0,271,419.8560887,4.099556937,1.056659639,-0.564401808,-0.564401808,0.741688598,1.060070729,0,361,361,3.349281432,1.07220939,-0.500428977,-0.500428977,0.578185299,1.080664903,0,297.61767,339.4010594,4.005789034,1.825021971,-0.35478486,-0.35478486,0.894440144,1.843822254,0,271,271,5.306283875,1.399625106,-0.384229194,-0.384229194,2.527154126,1.402016738
60,0,278.2808112,265.0143523,4.769751441,1.611769304,-0.310129215,-0.310129215,1.31593421,1.611791891,0,361,348.5382217,5.235583989,1.842856205,-0.321244895,-0.321244895,1.11210451,1.842892542,0,271,271,4.541057934,1.54351359,-0.318230314,-0.318230314,0.721267468,1.544075062,0,443.7807174,232.6026391,7.277935768,2.394730428,-0.456968535,-0.456968535,2.550267256,2.402801343
61,0,330.6620273,1561.352175,4.055232698,0.120727364,-0.670798377,-0.670798377,0.057927401,0.119966264,0,271,271,4.727596605,0.256356825,-0.668783712,-0.668783712,0.017914605,0.256875512,0,721,266.1162203,4.800864771,0.557173465,-0.455031749,-0.455031749,0.023315029,0.557381804,0,277.9005857,660.6194307,6.269866741,0.649657685,-0.698746069,-0.698746069,0.765509394,0.650349107
62,0,209.1190372,406,2.942912505,1.630585508,-0.102399443,-0.102399443,1.724806884,1.684280784,0,212.793075,361,1.581272668,0.602815884,-0.257896816,-0.257896816,0.709491916,0.633463093,,,,,,,,,,0,544.660818,424.8622738,5.604383139,2.445113349,-0.770412618,-0.770412618,2.272912578,1.667052734
63,0,262.5514119,406,3.368466764,2.837877896,0.11943869,0.11943869,2.890118213,2.806654851,0,271,271,1.680873118,0.773992255,-0.178181675,-0.178181675,0.905634601,0.77173616,0,322.6172228,451,0.906204118,1.062559472,-0.015309971,-0.015309971,0.807981363,1.113999502,0,316,316,5.90139744,3.727948357,-0.903380063,-0.903380063,3.169371105,4.044313185
